species,cluster,cross_species_cluster
chimp,Astro_1,Astro_1
chimp,Astro_2,Astro_1
chimp,Chandelier_1,Chandelier_1
chimp,Chandelier_2,Chandelier_1
chimp,Endo_1,Endo_1
chimp,L2/3 IT_1,L2/3 IT_1
chimp,L2/3 IT_2,L2/3 IT_3
chimp,L2/3 IT_3,L2/3 IT_1
chimp,L2/3 IT_4,L2/3 IT_3
chimp,L2/3 IT_5,L2/3 IT_1
chimp,L2/3 IT_6,L2/3 IT_1
chimp,L2/3 IT_7,L2/3 IT_1
chimp,L4 IT_1,L4 IT_1
chimp,L4 IT_2,L4 IT_1
chimp,L4 IT_3,L4 IT_2
chimp,L4 IT_4,L2/3 IT_2
chimp,L5/6 NP_1,L5/6 NP_2
chimp,L5/6 NP_2,L5/6 NP_1
chimp,L5 ET_1,L5 ET_1
chimp,L5 ET_2,L5 ET_2
chimp,L5 IT_1,L5 IT_1
chimp,L5 IT_2,L5 IT_1
chimp,L5 IT_3,L5 IT_2
chimp,L5 IT_4,L5 IT_2
chimp,L6 CT_1,L6 CT_1
chimp,L6 CT_2,L6 CT_2
chimp,L6 CT_3,L6 CT_2
chimp,L6 IT Car3_1,L6 IT Car3_2
chimp,L6 IT Car3_2,L6 IT Car3_1
chimp,L6 IT_1,L6 IT_1
chimp,L6b_1,L6b_3
chimp,L6b_2,L6b_1
chimp,L6b_3,L6b_2
chimp,L6b_4,L6b_2
chimp,L6b_5,L6b_2
chimp,L6b_6,L6b_2
chimp,Lamp5_1,Lamp5_2
chimp,Lamp5_2,Lamp5_1
chimp,Lamp5_3,Lamp5_1
chimp,Lamp5_Lhx6_1,Lamp5_Lhx6_1
chimp,Lamp5_Lhx6_2,Lamp5_Lhx6_1
chimp,Micro-PVM_1,Micro-PVM_1
chimp,Micro-PVM_2,Micro-PVM_1
chimp,OPC_1,OPC_1
chimp,OPC_2,OPC_2
chimp,Oligo_1,Oligo_1
chimp,Oligo_2,Oligo_1
chimp,Pax6_1,Pax6_1
chimp,Pax6_2,Pax6_1
chimp,Pax6_3,Pax6_2
chimp,Pax6_4,Sncg_3
chimp,Pvalb_1,Pvalb_2
chimp,Pvalb_2,Pvalb_4
chimp,Pvalb_3,Pvalb_1
chimp,Pvalb_4,Pvalb_3
chimp,Pvalb_5,Pvalb_4
chimp,Pvalb_6,Pvalb_4
chimp,Pvalb_7,Pvalb_4
chimp,Pvalb_8,Pvalb_4
chimp,Pvalb_9,Sst_5
chimp,Sncg_1,Lamp5_2
chimp,Sncg_10,Vip_8
chimp,Sncg_2,Sncg_2
chimp,Sncg_3,Sncg_3
chimp,Sncg_4,Sncg_3
chimp,Sncg_5,Sncg_1
chimp,Sncg_6,Sncg_2
chimp,Sncg_7,Vip_8
chimp,Sncg_8,Sncg_2
chimp,Sncg_9,Sncg_2
chimp,Sst Chodl_1,Sst Chodl_1
chimp,Sst_1,Sst_5
chimp,Sst_10,Sst_2
chimp,Sst_11,Sst_8
chimp,Sst_12,Sst_8
chimp,Sst_13,Sst_5
chimp,Sst_14,Sst_4
chimp,Sst_15,Sst_3
chimp,Sst_2,Sst_9
chimp,Sst_3,Sst_3
chimp,Sst_4,Sst_3
chimp,Sst_5,Sst_7
chimp,Sst_6,Sst_6
chimp,Sst_7,Sst_7
chimp,Sst_8,Sst_5
chimp,Sst_9,Sst_1
chimp,VLMC_1,VLMC_1
chimp,Vip_1,Vip_8
chimp,Vip_10,Vip_2
chimp,Vip_11,Vip_2
chimp,Vip_12,Vip_8
chimp,Vip_13,Vip_2
chimp,Vip_14,Vip_2
chimp,Vip_15,Vip_8
chimp,Vip_16,Vip_8
chimp,Vip_17,Vip_8
chimp,Vip_18,Vip_7
chimp,Vip_19,Vip_6
chimp,Vip_2,Vip_5
chimp,Vip_20,Vip_7
chimp,Vip_3,Vip_5
chimp,Vip_4,Vip_7
chimp,Vip_5,Vip_1
chimp,Vip_6,Vip_3
chimp,Vip_7,Vip_3
chimp,Vip_8,Vip_3
chimp,Vip_9,Vip_4
gorilla,Astro_1,Astro_1
gorilla,Astro_2,Astro_1
gorilla,Astro_3,Astro_1
gorilla,Astro_4,Astro_1
gorilla,Chandelier_1,Chandelier_1
gorilla,Chandelier_2,Chandelier_1
gorilla,Endo_1,Endo_1
gorilla,Endo_2,Endo_1
gorilla,L2/3 IT_1,L2/3 IT_3
gorilla,L2/3 IT_2,L2/3 IT_1
gorilla,L2/3 IT_3,L2/3 IT_1
gorilla,L2/3 IT_4,L2/3 IT_1
gorilla,L4 IT_1,L4 IT_2
gorilla,L4 IT_2,L2/3 IT_2
gorilla,L4 IT_3,L4 IT_1
gorilla,L4 IT_4,L4 IT_1
gorilla,L4 IT_5,L2/3 IT_2
gorilla,L5/6 NP_1,L5/6 NP_2
gorilla,L5/6 NP_2,L5/6 NP_1
gorilla,L5/6 NP_3,L5/6 NP_1
gorilla,L5/6 NP_4,L5/6 NP_1
gorilla,L5 ET_1,L5 ET_1
gorilla,L5 ET_2,L5 ET_1
gorilla,L5 ET_3,L5 ET_2
gorilla,L5 ET_4,L5 ET_2
gorilla,L5 IT_1,L5 IT_2
gorilla,L5 IT_2,L5 IT_2
gorilla,L5 IT_3,L5 IT_1
gorilla,L6 CT_1,L6 CT_1
gorilla,L6 CT_2,L6 CT_2
gorilla,L6 IT Car3_1,L6 IT Car3_2
gorilla,L6 IT Car3_2,L6 IT Car3_1
gorilla,L6 IT Car3_3,L6 IT Car3_2
gorilla,L6 IT_1,L6 IT_1
gorilla,L6 IT_2,L6 IT_1
gorilla,L6 IT_3,L6 IT_1
gorilla,L6b_1,L6b_1
gorilla,L6b_2,L6b_2
gorilla,L6b_3,L6b_3
gorilla,L6b_4,L6b_1
gorilla,L6b_5,L6b_2
gorilla,L6b_6,L6b_2
gorilla,Lamp5_1,Lamp5_2
gorilla,Lamp5_2,Lamp5_1
gorilla,Lamp5_Lhx6_1,Lamp5_Lhx6_1
gorilla,Lamp5_Lhx6_2,Lamp5_Lhx6_1
gorilla,Micro-PVM_1,Micro-PVM_1
gorilla,Micro-PVM_2,Micro-PVM_1
gorilla,Micro-PVM_3,Micro-PVM_1
gorilla,OPC_1,OPC_2
gorilla,OPC_2,OPC_1
gorilla,OPC_3,OPC_2
gorilla,Oligo_1,Oligo_1
gorilla,Pax6_1,Sncg_3
gorilla,Pax6_2,Pax6_2
gorilla,Pax6_3,Pax6_1
gorilla,Pax6_4,Pax6_1
gorilla,Pvalb_1,Pvalb_2
gorilla,Pvalb_2,Pvalb_1
gorilla,Pvalb_3,Pvalb_3
gorilla,Pvalb_4,Pvalb_4
gorilla,Pvalb_5,Pvalb_4
gorilla,Pvalb_6,Pvalb_4
gorilla,Pvalb_7,Pvalb_4
gorilla,Pvalb_8,Sst_5
gorilla,Sncg_1,Sncg_3
gorilla,Sncg_2,Sncg_2
gorilla,Sncg_3,Sncg_2
gorilla,Sncg_4,Sncg_1
gorilla,Sncg_5,Vip_8
gorilla,Sncg_6,Sncg_1
gorilla,Sncg_7,Vip_8
gorilla,Sst Chodl_1,Sst Chodl_1
gorilla,Sst Chodl_2,Sst Chodl_1
gorilla,Sst Chodl_3,Sst_6
gorilla,Sst_1,Sst_8
gorilla,Sst_10,Sst_3
gorilla,Sst_11,Sst_7
gorilla,Sst_12,Sst_4
gorilla,Sst_13,Sst_5
gorilla,Sst_14,Sst_7
gorilla,Sst_15,Sst_7
gorilla,Sst_16,Sst_6
gorilla,Sst_17,Sst_6
gorilla,Sst_18,Sst_9
gorilla,Sst_2,Sst_8
gorilla,Sst_3,Sst_8
gorilla,Sst_4,Sst_1
gorilla,Sst_5,Sst_2
gorilla,Sst_6,Sst_2
gorilla,Sst_7,Sst_3
gorilla,Sst_8,Sst_5
gorilla,Sst_9,Sst_5
gorilla,VLMC_1,VLMC_1
gorilla,VLMC_2,VLMC_1
gorilla,VLMC_3,VLMC_1
gorilla,VLMC_4,VLMC_1
gorilla,Vip_1,Vip_5
gorilla,Vip_10,Vip_7
gorilla,Vip_11,Vip_6
gorilla,Vip_12,Vip_7
gorilla,Vip_13,Vip_7
gorilla,Vip_14,Vip_1
gorilla,Vip_15,Vip_4
gorilla,Vip_16,Vip_3
gorilla,Vip_17,Vip_2
gorilla,Vip_2,Vip_2
gorilla,Vip_3,Vip_2
gorilla,Vip_4,Vip_3
gorilla,Vip_5,Vip_3
gorilla,Vip_6,Vip_3
gorilla,Vip_7,Vip_8
gorilla,Vip_8,Vip_8
gorilla,Vip_9,Vip_8
human,Astro_1,Astro_1
human,Astro_2,Astro_1
human,Astro_3,Astro_1
human,Astro_4,Astro_1
human,Astro_5,Astro_1
human,Chandelier_1,Chandelier_1
human,Chandelier_2,Chandelier_1
human,Endo_1,Endo_1
human,L2/3 IT_1,L2/3 IT_1
human,L2/3 IT_10,L2/3 IT_3
human,L2/3 IT_11,L2/3 IT_1
human,L2/3 IT_12,L2/3 IT_1
human,L2/3 IT_13,L2/3 IT_1
human,L2/3 IT_2,L2/3 IT_1
human,L2/3 IT_3,L2/3 IT_1
human,L2/3 IT_4,L2/3 IT_1
human,L2/3 IT_5,L2/3 IT_1
human,L2/3 IT_6,L2/3 IT_3
human,L2/3 IT_7,L2/3 IT_3
human,L2/3 IT_8,L2/3 IT_3
human,L2/3 IT_9,L2/3 IT_3
human,L4 IT_1,L4 IT_2
human,L4 IT_2,L4 IT_1
human,L4 IT_3,L4 IT_1
human,L4 IT_4,L2/3 IT_2
human,L5/6 NP_1,L5/6 NP_1
human,L5/6 NP_2,L5/6 NP_2
human,L5/6 NP_3,L5/6 NP_1
human,L5/6 NP_4,L5/6 NP_1
human,L5/6 NP_5,L5/6 NP_1
human,L5/6 NP_6,L5/6 NP_1
human,L5 ET_1,L5 ET_1
human,L5 ET_2,L5 ET_2
human,L5 IT_1,L5 IT_1
human,L5 IT_2,L5 IT_2
human,L5 IT_3,L5 IT_1
human,L5 IT_4,L5 IT_2
human,L5 IT_5,L5 IT_2
human,L5 IT_6,L5 IT_2
human,L5 IT_7,L5 IT_2
human,L6 CT_1,L6 CT_1
human,L6 CT_2,L6 CT_1
human,L6 CT_3,L6 CT_2
human,L6 CT_4,L6 CT_2
human,L6 IT Car3_1,L6 IT Car3_1
human,L6 IT Car3_2,L6 IT Car3_2
human,L6 IT Car3_3,L6 IT Car3_2
human,L6 IT_1,L6 IT_1
human,L6 IT_2,L6 IT_1
human,L6b_1,L6b_3
human,L6b_2,L6b_1
human,L6b_3,L6b_2
human,L6b_4,L6b_2
human,L6b_5,L6b_2
human,L6b_6,L6b_2
human,Lamp5_1,Lamp5_1
human,Lamp5_2,Lamp5_1
human,Lamp5_3,Lamp5_1
human,Lamp5_4,Lamp5_2
human,Lamp5_5,Lamp5_2
human,Lamp5_6,Lamp5_2
human,Lamp5_Lhx6_1,Lamp5_Lhx6_1
human,Micro-PVM_1,Micro-PVM_1
human,Micro-PVM_2,Micro-PVM_1
human,Micro-PVM_3,Micro-PVM_1
human,OPC_1,OPC_1
human,OPC_2,OPC_2
human,Oligo_1,Oligo_1
human,Oligo_2,Oligo_1
human,Oligo_3,Oligo_1
human,Oligo_4,Oligo_1
human,Pax6_1,Pax6_1
human,Pax6_2,Pax6_1
human,Pax6_3,Pax6_2
human,Pax6_4,Sncg_3
human,Pvalb_1,Pvalb_4
human,Pvalb_10,Pvalb_3
human,Pvalb_11,Pvalb_3
human,Pvalb_12,Pvalb_3
human,Pvalb_13,Pvalb_3
human,Pvalb_14,Pvalb_4
human,Pvalb_15,Pvalb_4
human,Pvalb_2,Pvalb_4
human,Pvalb_3,Pvalb_4
human,Pvalb_4,Pvalb_4
human,Pvalb_5,Pvalb_4
human,Pvalb_6,Pvalb_4
human,Pvalb_7,Pvalb_1
human,Pvalb_8,Sst_5
human,Pvalb_9,Pvalb_2
human,Sncg_1,Vip_8
human,Sncg_2,Vip_8
human,Sncg_3,Sncg_1
human,Sncg_4,Sncg_2
human,Sncg_5,Sncg_2
human,Sncg_6,Sncg_3
human,Sncg_7,Sncg_2
human,Sncg_8,Vip_8
human,Sst Chodl_1,Sst Chodl_1
human,Sst Chodl_2,Sst_6
human,Sst_1,Sst_1
human,Sst_10,Sst_3
human,Sst_11,Sst_6
human,Sst_12,Sst_2
human,Sst_13,Sst_3
human,Sst_14,Sst_3
human,Sst_15,Sst_2
human,Sst_16,Sst_4
human,Sst_17,Sst_4
human,Sst_18,Sst_3
human,Sst_19,Sst_4
human,Sst_2,Sst_5
human,Sst_20,Sst_5
human,Sst_21,Sst_5
human,Sst_22,Sst_6
human,Sst_23,Sst_7
human,Sst_24,Sst_7
human,Sst_25,Sst_7
human,Sst_26,Sst_7
human,Sst_3,Sst_5
human,Sst_4,Sst_8
human,Sst_5,Sst_8
human,Sst_6,Sst_8
human,Sst_7,Sst_8
human,Sst_8,Sst_3
human,Sst_9,Sst_9
human,VLMC_1,VLMC_1
human,VLMC_2,VLMC_1
human,Vip_1,Vip_1
human,Vip_10,Vip_7
human,Vip_11,Vip_1
human,Vip_12,Vip_2
human,Vip_13,Vip_1
human,Vip_14,Vip_8
human,Vip_15,Vip_8
human,Vip_16,Vip_8
human,Vip_17,Vip_2
human,Vip_18,Vip_2
human,Vip_19,Vip_2
human,Vip_2,Vip_3
human,Vip_20,Vip_2
human,Vip_21,Vip_4
human,Vip_22,Vip_4
human,Vip_23,Vip_3
human,Vip_3,Vip_3
human,Vip_4,Vip_5
human,Vip_5,Vip_6
human,Vip_6,Vip_7
human,Vip_7,Vip_5
human,Vip_8,Vip_7
human,Vip_9,Vip_7
marmoset,Astro_1,Astro_1
marmoset,Astro_2,Astro_1
marmoset,Astro_3,Astro_1
marmoset,Astro_4,Astro_1
marmoset,Chandelier_1,Chandelier_1
marmoset,Endo_1,Endo_1
marmoset,Endo_2,Endo_1
marmoset,Endo_3,Endo_1
marmoset,L2/3 IT_1,L2/3 IT_3
marmoset,L2/3 IT_2,L2/3 IT_1
marmoset,L2/3 IT_3,L2/3 IT_1
marmoset,L2/3 IT_4,L2/3 IT_1
marmoset,L4 IT_1,L2/3 IT_2
marmoset,L4 IT_2,L2/3 IT_2
marmoset,L4 IT_3,L2/3 IT_1
marmoset,L4 IT_4,L4 IT_2
marmoset,L4 IT_5,L2/3 IT_2
marmoset,L4 IT_6,L4 IT_1
marmoset,L5/6 NP_1,L5/6 NP_1
marmoset,L5/6 NP_2,L5/6 NP_2
marmoset,L5 ET_1,L5 ET_1
marmoset,L5 ET_2,L5 ET_2
marmoset,L5 IT_1,L5 IT_2
marmoset,L5 IT_2,L5 IT_2
marmoset,L5 IT_3,L5 IT_1
marmoset,L6 CT_1,L6 CT_2
marmoset,L6 CT_2,L6 CT_1
marmoset,L6 CT_3,L6 CT_2
marmoset,L6 IT Car3_1,L6 IT Car3_2
marmoset,L6 IT Car3_2,L6 IT Car3_2
marmoset,L6 IT Car3_3,L6 IT Car3_1
marmoset,L6 IT_1,L6 IT_1
marmoset,L6 IT_2,L6 IT_1
marmoset,L6 IT_3,L6 IT_1
marmoset,L6b_1,L6b_2
marmoset,L6b_2,L6b_3
marmoset,L6b_3,L6b_1
marmoset,Lamp5_1,Lamp5_2
marmoset,Lamp5_2,Lamp5_1
marmoset,Lamp5_Lhx6_1,Lamp5_Lhx6_1
marmoset,Micro-PVM_1,Micro-PVM_1
marmoset,Micro-PVM_2,Micro-PVM_1
marmoset,Micro-PVM_3,Micro-PVM_1
marmoset,Micro-PVM_4,Micro-PVM_1
marmoset,OPC_1,OPC_1
marmoset,OPC_2,OPC_2
marmoset,OPC_3,OPC_2
marmoset,OPC_4,OPC_2
marmoset,Oligo_1,Oligo_1
marmoset,Oligo_2,Oligo_1
marmoset,Pax6_1,Pax6_1
marmoset,Pax6_2,Pax6_1
marmoset,Pax6_3,Sncg_3
marmoset,Pvalb_1,Pvalb_3
marmoset,Pvalb_2,Pvalb_4
marmoset,Pvalb_3,Pvalb_4
marmoset,Pvalb_4,Pvalb_4
marmoset,Pvalb_5,Pvalb_1
marmoset,Pvalb_6,Pvalb_2
marmoset,Sncg_1,Pax6_2
marmoset,Sncg_2,Vip_8
marmoset,Sncg_3,Sncg_2
marmoset,Sncg_4,Sncg_3
marmoset,Sncg_5,Pax6_2
marmoset,Sncg_6,Sncg_3
marmoset,Sncg_7,Sncg_1
marmoset,Sncg_8,Sncg_1
marmoset,Sncg_9,Vip_8
marmoset,Sst Chodl_1,Sst Chodl_1
marmoset,Sst Chodl_2,Sst_6
marmoset,Sst_1,Sst_7
marmoset,Sst_10,Sst_8
marmoset,Sst_11,Sst_8
marmoset,Sst_12,Sst_7
marmoset,Sst_13,Sst_6
marmoset,Sst_14,Sst_5
marmoset,Sst_15,Sst_7
marmoset,Sst_16,Sst_5
marmoset,Sst_2,Sst_4
marmoset,Sst_3,Sst_9
marmoset,Sst_4,Sst_3
marmoset,Sst_5,Sst_9
marmoset,Sst_6,Sst_3
marmoset,Sst_7,Sst_1
marmoset,Sst_8,Sst_2
marmoset,Sst_9,Sst_2
marmoset,VLMC_1,VLMC_1
marmoset,VLMC_2,VLMC_1
marmoset,VLMC_3,VLMC_1
marmoset,VLMC_4,VLMC_1
marmoset,Vip_1,Vip_6
marmoset,Vip_10,Vip_3
marmoset,Vip_11,Vip_7
marmoset,Vip_12,Vip_7
marmoset,Vip_13,Vip_1
marmoset,Vip_2,Vip_4
marmoset,Vip_3,Vip_5
marmoset,Vip_4,Vip_8
marmoset,Vip_5,Vip_8
marmoset,Vip_6,Vip_2
marmoset,Vip_7,Vip_2
marmoset,Vip_8,Vip_2
marmoset,Vip_9,Vip_2
rhesus,Astro_1,Astro_1
rhesus,Astro_2,Astro_1
rhesus,Astro_3,Astro_1
rhesus,Chandelier_1,Chandelier_1
rhesus,Chandelier_2,Chandelier_1
rhesus,Endo_1,Endo_1
rhesus,L2/3 IT_1,L2/3 IT_1
rhesus,L2/3 IT_10,L2/3 IT_3
rhesus,L2/3 IT_11,L2/3 IT_1
rhesus,L2/3 IT_12,L2/3 IT_1
rhesus,L2/3 IT_13,L2/3 IT_1
rhesus,L2/3 IT_14,L2/3 IT_1
rhesus,L2/3 IT_15,L2/3 IT_1
rhesus,L2/3 IT_2,L2/3 IT_1
rhesus,L2/3 IT_3,L2/3 IT_3
rhesus,L2/3 IT_4,L2/3 IT_3
rhesus,L2/3 IT_5,L2/3 IT_3
rhesus,L2/3 IT_6,L2/3 IT_3
rhesus,L2/3 IT_7,L2/3 IT_1
rhesus,L2/3 IT_8,L2/3 IT_1
rhesus,L2/3 IT_9,L2/3 IT_1
rhesus,L4 IT_1,L4 IT_1
rhesus,L4 IT_2,L4 IT_2
rhesus,L4 IT_3,L2/3 IT_2
rhesus,L5/6 NP_1,L5/6 NP_2
rhesus,L5/6 NP_2,L5/6 NP_1
rhesus,L5/6 NP_3,L5/6 NP_1
rhesus,L5/6 NP_4,L5/6 NP_1
rhesus,L5/6 NP_5,L5/6 NP_1
rhesus,L5/6 NP_6,L5/6 NP_1
rhesus,L5/6 NP_7,L5/6 NP_1
rhesus,L5/6 NP_8,L5/6 NP_1
rhesus,L5 ET_1,L5 ET_2
rhesus,L5 ET_2,L5 ET_1
rhesus,L5 IT_1,L5 IT_2
rhesus,L5 IT_2,L5 IT_1
rhesus,L5 IT_3,L5 IT_2
rhesus,L5 IT_4,L5 IT_2
rhesus,L6 CT_1,L6 CT_2
rhesus,L6 CT_2,L6 CT_1
rhesus,L6 CT_3,L6 CT_1
rhesus,L6 CT_4,L6 CT_1
rhesus,L6 IT Car3_1,L6 IT Car3_1
rhesus,L6 IT Car3_2,L6 IT Car3_2
rhesus,L6 IT_1,L6 IT_1
rhesus,L6 IT_2,L6 IT_1
rhesus,L6 IT_3,L6 IT_1
rhesus,L6 IT_4,L6 IT_1
rhesus,L6b_1,L6b_2
rhesus,L6b_2,L6b_2
rhesus,L6b_3,L6b_1
rhesus,L6b_4,L6b_3
rhesus,Lamp5_1,Lamp5_2
rhesus,Lamp5_2,Lamp5_2
rhesus,Lamp5_3,Lamp5_1
rhesus,Lamp5_4,Lamp5_1
rhesus,Lamp5_Lhx6_1,Lamp5_Lhx6_1
rhesus,Micro-PVM_1,Micro-PVM_1
rhesus,Micro-PVM_2,Micro-PVM_1
rhesus,Micro-PVM_3,Micro-PVM_1
rhesus,OPC_1,OPC_1
rhesus,OPC_2,OPC_2
rhesus,OPC_3,OPC_2
rhesus,Oligo_1,Oligo_1
rhesus,Oligo_2,Oligo_1
rhesus,Pax6_1,Pax6_1
rhesus,Pax6_2,Pax6_1
rhesus,Pax6_3,Pax6_2
rhesus,Pax6_4,Sncg_3
rhesus,Pvalb_1,Pvalb_3
rhesus,Pvalb_10,Pvalb_4
rhesus,Pvalb_2,Pvalb_4
rhesus,Pvalb_3,Pvalb_2
rhesus,Pvalb_4,Pvalb_1
rhesus,Pvalb_5,Pvalb_1
rhesus,Pvalb_6,Pvalb_4
rhesus,Pvalb_7,Pvalb_4
rhesus,Pvalb_8,Pvalb_4
rhesus,Pvalb_9,Pvalb_4
rhesus,Sncg_1,Sncg_2
rhesus,Sncg_2,Sncg_2
rhesus,Sncg_3,Sncg_2
rhesus,Sncg_4,Sncg_2
rhesus,Sncg_5,Vip_8
rhesus,Sncg_6,Vip_8
rhesus,Sncg_7,Sncg_1
rhesus,Sst Chodl_1,Sst Chodl_1
rhesus,Sst Chodl_2,Sst_6
rhesus,Sst_1,Sst_1
rhesus,Sst_10,Sst_7
rhesus,Sst_11,Sst_6
rhesus,Sst_12,Sst_8
rhesus,Sst_13,Sst_5
rhesus,Sst_14,Sst_2
rhesus,Sst_2,Sst_4
rhesus,Sst_3,Sst_4
rhesus,Sst_4,Sst_9
rhesus,Sst_5,Sst_9
rhesus,Sst_6,Sst_3
rhesus,Sst_7,Sst_3
rhesus,Sst_8,Sst_7
rhesus,Sst_9,Sst_7
rhesus,VLMC_1,VLMC_1
rhesus,VLMC_2,VLMC_1
rhesus,Vip_1,Vip_8
rhesus,Vip_10,Vip_5
rhesus,Vip_11,Vip_6
rhesus,Vip_12,Vip_7
rhesus,Vip_13,Vip_7
rhesus,Vip_14,Vip_7
rhesus,Vip_15,Vip_7
rhesus,Vip_2,Vip_7
rhesus,Vip_3,Vip_2
rhesus,Vip_4,Vip_1
rhesus,Vip_5,Vip_3
rhesus,Vip_6,Vip_3
rhesus,Vip_7,Vip_4
rhesus,Vip_8,Vip_8
rhesus,Vip_9,Vip_8
